Word,Frequency,Frequency percentage
is,6,5.556
and,4,3.704
he,4,3.704
the,4,3.704
i,3,2.778
petrov,3,2.778
sergey,3,2.778
to,3,2.778
a,2,1.852
always,2,1.852
his,2,1.852
only,2,1.852
that,2,1.852
with,2,1.852
100,1,0.926
also,1,0.926
am,1,0.926
an,1,0.926
any,1,0.926
balaboba,1,0.926
be,1,0.926
best,1,0.926
but,1,0.926
by,1,0.926
careful,1,0.926
code,1,0.926
coder,1,0.926
colleagues,1,0.926
com,1,0.926
customer,1,0.926
delivers,1,0.926
do,1,0.926
does,1,0.926
easy,1,0.926
en,1,0.926
extremely,1,0.926
for,1,0.926
friendly,1,0.926
generated,1,0.926
great,1,0.926
happy,1,0.926
has,1,0.926
have,1,0.926
highly,1,0.926
https,1,0.926
in,1,0.926
just,1,0.926
kind,1,0.926
lab,1,0.926
me,1,0.926
modify,1,0.926
more,1,0.926
my,1,0.926
not,1,0.926
on,1,0.926
opinion,1,0.926
over,1,0.926
overall,1,0.926
person,1,0.926
pleasure,1,0.926
professional,1,0.926
projects,1,0.926
recommend,1,0.926
s,1,0.926
say,1,0.926
should,1,0.926
text,1,0.926
thing,1,0.926
this,1,0.926
time,1,0.926
understand,1,0.926
very,1,0.926
when,1,0.926
work,1,0.926
working,1,0.926
world,1,0.926
would,1,0.926
written,1,0.926
yalm,1,0.926
yandex,1,0.926
